Task,Category,Due Date,Notes,Owner,Priority,Project Phase,Status,Workstream
Confirm LLM and AI search direction,SEO,"May 20, 2026","Confirm LLM optimization from the start, FAQ-style content where needed, and schema/structure included in the build.",,Medium,Phase 1 — June website,Not started,
Build Why Stratum inputs,Content,"May 9, 2026","Write strategic claim, key reasons to choose Stratum, proof points, competitor/internal IT comparison points, and outcome examples.",,High,Phase 1 — June website,Not started,
Confirm content ownership after launch,Strategy,"May 20, 2026","Confirm LinkedIn/Instagram in-house, website copy ownership after launch, and whether Bananas supports anything beyond foundation work.",,Medium,Phase 1 — June website,Not started,
Confirm hours-of-operation messaging,Content,"May 16, 2026",Decide business-hours only vs after-hours support and confirm the support expectation message.,,Medium,Phase 1 — June website,Not started,
Plan photoshoot sequence,Assets,"May 27, 2026","Plan shirts, office materials, shoot list, people, locations, and final image return to Bananas after branding is ready.",,Low,Phase 1 — June website,Not started,
Finalize service catalog,Strategy,"May 6, 2026","Confirm core services, dedicated pages, plain-language descriptions, and who joins each service discovery call.",,Critical,Phase 1 — June website,In progress,Bruno Start Pack
Gather trust badges and proof assets,Assets,"May 9, 2026","Collect Microsoft Partner status, certifications, insurance/compliance affiliations, industry recognitions, and logos.",,High,Phase 1 — June website,Not started,
Gather testimonials and case study inputs,Assets,"May 13, 2026","Identify 3-5 clients, confirm public naming, and capture short outcome-based stories.",,High,Phase 1 — June website,Not started,
Confirm point of contact and approval path,Approvals,"May 6, 2026","Confirm Nathan as main point of contact, final approvers, and review turnaround expectations.",,Critical,Phase 1 — June website,In progress,
Inventory current website pages and URLs,SEO,"May 13, 2026","List current URLs and mark migrate, refresh, sunset, or redirect.",,High,Phase 1 — June website,Not started,
Confirm Webflow and account ownership setup,Technical,"May 6, 2026","Confirm Webflow, Stratum ownership, domain and DNS control, and access ownership for Analytics, Search Console, and GBP.",,Critical,Phase 1 — June website,In progress,
Define target market filter,Strategy,"May 6, 2026","Confirm target verticals, geographies, company sizes, and who the June website is meant to attract.",,Critical,Phase 1 — June website,Not started,
